,Team,GP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League,W/L%
38,Los Angeles Clippers,82,33.6,71.2,0.471,7.9,22.3,0.354,25.7,48.8,0.525,15.8,21.2,0.743,8.4,28.1,36.6,18.6,6.4,3.8,12.2,16.7,90.8,2017,NBA,0.653
39,Charlotte Hornets,82,32.5,72.2,0.45,8.3,22.7,0.369,24.1,49.5,0.487,16.8,22.5,0.747,8.4,29.5,37.9,18.0,5.7,3.8,10.6,14.3,90.2,2017,NBA,0.458
40,Los Angeles Lakers,82,33.9,73.7,0.461,8.3,24.3,0.345,25.6,49.4,0.517,13.8,19.4,0.714,8.9,29.8,38.7,19.8,6.4,3.9,13.2,17.7,90.1,2017,NBA,0.583
41,Oklahoma City Thunder,82,33.2,73.4,0.453,8.9,25.3,0.354,24.3,48.1,0.505,14.4,20.2,0.716,10.4,27.2,37.6,17.8,7.6,4.2,11.7,16.8,89.9,2017,NBA,0.306
42,Washington Wizards,82,33.2,71.3,0.467,8.2,22.1,0.375,25.0,49.2,0.508,14.0,18.2,0.772,8.3,27.6,35.9,21.0,6.6,3.6,12.2,17.8,88.8,2017,NBA,0.472
43,Brooklyn Nets,82,31.8,72.3,0.441,10.6,29.8,0.356,21.2,42.6,0.5,14.5,18.8,0.772,8.1,29.0,37.0,19.8,5.2,4.0,12.7,17.2,88.8,2017,NBA,0.667
44,Milwaukee Bucks,82,33.1,69.2,0.478,7.3,20.6,0.355,25.8,48.6,0.531,15.3,19.5,0.783,7.0,26.2,33.2,19.3,7.3,4.5,11.5,17.8,88.8,2017,NBA,0.639
45,Indiana Pacers,82,34.0,72.0,0.472,7.5,20.4,0.369,26.5,51.6,0.513,12.4,16.0,0.779,8.0,27.3,35.2,18.5,7.3,3.4,11.1,15.7,88.0,2017,NBA,0.472
46,Portland Trail Blazers,82,32.8,72.5,0.452,8.6,23.4,0.366,24.2,49.0,0.493,13.9,17.4,0.8,8.5,29.4,37.9,16.2,5.8,4.3,11.2,16.2,88.0,2017,NBA,0.583
47,New York Knicks,82,33.9,73.1,0.464,6.8,19.4,0.352,27.1,53.7,0.504,12.4,15.8,0.787,8.8,28.0,36.7,19.4,5.6,4.2,12.2,17.1,87.1,2017,NBA,0.569
48,Utah Jazz,82,31.9,69.1,0.462,9.0,24.7,0.366,22.9,44.4,0.515,14.0,17.9,0.779,7.5,28.5,36.1,18.7,7.2,4.2,12.2,16.3,86.8,2017,NBA,0.722
49,Boston Celtics,82,31.9,70.9,0.45,9.6,25.3,0.377,22.4,45.6,0.491,13.3,17.2,0.771,7.8,29.3,37.1,18.8,6.2,3.8,11.7,16.4,86.7,2017,NBA,0.5
50,Phoenix Suns,82,32.1,72.6,0.442,7.8,23.2,0.334,24.3,49.3,0.492,14.8,19.9,0.741,8.6,28.2,36.8,17.8,5.8,3.8,13.1,18.3,86.6,2017,NBA,0.708
51,Detroit Pistons,82,32.6,72.4,0.45,9.0,24.1,0.373,23.6,48.3,0.488,12.2,16.5,0.745,8.4,28.0,36.4,19.0,6.4,3.2,11.2,15.3,86.5,2017,NBA,0.278
52,Miami Heat,82,32.3,71.1,0.455,9.2,25.5,0.36,23.2,45.7,0.508,12.2,16.2,0.755,7.8,28.5,36.2,18.9,6.3,4.4,12.0,16.8,86.2,2017,NBA,0.556
53,Orlando Magic,82,32.3,71.6,0.452,8.6,24.4,0.351,23.8,47.1,0.504,12.9,17.1,0.757,7.3,27.3,34.7,19.5,6.3,4.1,12.1,16.1,86.2,2017,NBA,0.292
54,Atlanta Hawks,82,31.8,71.2,0.446,9.3,25.8,0.36,22.5,45.4,0.495,13.2,16.8,0.785,7.6,27.3,34.9,19.8,6.5,3.5,13.0,16.3,86.2,2017,NBA,0.569
55,Chicago Bulls,82,32.3,74.0,0.435,9.2,25.9,0.355,23.0,48.2,0.478,12.2,16.0,0.759,8.0,29.2,37.3,19.6,6.3,2.9,11.7,16.0,85.8,2017,NBA,0.431
56,San Antonio Spurs,82,32.5,71.2,0.457,7.1,20.1,0.352,25.5,51.0,0.499,13.4,17.4,0.772,8.7,28.2,36.8,19.0,6.4,4.7,10.9,14.3,85.6,2017,NBA,0.458
57,Dallas Mavericks,82,31.8,71.6,0.444,9.8,27.3,0.36,22.0,44.2,0.496,11.8,15.6,0.763,6.8,27.6,34.4,18.9,5.8,3.2,10.3,16.0,85.2,2017,NBA,0.583
58,Memphis Grizzlies,82,30.6,69.0,0.444,7.7,21.8,0.352,22.9,47.1,0.486,13.8,17.6,0.786,7.9,25.8,33.8,17.9,6.2,4.0,12.5,19.3,82.8,2017,NBA,0.528
59,Sacramento Kings,82,32.3,71.8,0.45,7.5,20.0,0.375,24.8,51.8,0.479,10.3,13.9,0.735,7.9,26.2,34.1,18.0,6.5,3.4,11.4,16.7,82.3,2017,NBA,0.431
60,Milwaukee Bucks,82,36.2,75.9,0.476,11.2,31.8,0.353,24.9,44.1,0.565,14.9,19.3,0.773,7.8,33.7,41.4,21.7,6.2,4.9,11.6,16.3,98.4,2018,NBA,0.639
