,Player,Height,Weight,Nationality,Continent,Pos,Age,Team,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,eFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League
2189,Dmitry Kulagin,198,89,Russia,Europe,SG,24,CSKA Moscow,17,10.3,5.8,15.1,0.373,1.9,7.0,0.3,3.9,8.2,0.476,0.447,1.9,2.3,0.8,0.8,5.0,5.8,4.7,1.2,0.4,3.5,5.4,15.1,2016,EL
2190,Alex Renfroe,188,72,USA,Americas,G,30,Barca,17,17.7,3.2,7.7,0.414,1.6,4.1,0.387,1.6,3.6,0.438,0.519,0.9,0.9,1.0,1.4,3.4,4.7,3.6,2.3,0.0,3.2,4.5,8.8,2016,EL
2191,Jerel McNeal,190,91,USA,Americas,SG,29,Brose Baskets Bamberg,15,15.0,4.0,9.3,0.423,1.3,4.5,0.308,2.7,4.8,0.556,0.5,1.3,1.9,0.636,1.9,3.2,5.1,2.9,1.9,0.3,2.9,6.9,10.4,2016,EL
2192,Demetris Nichols,203,98,USA,Americas,SF,32,Panathinaikos,32,15.3,3.7,9.2,0.411,1.3,3.9,0.354,2.4,5.2,0.45,0.473,1.0,1.3,0.875,1.3,4.7,6.0,0.8,0.8,0.8,1.6,4.2,9.9,2016,EL
2193,Joe Alexander,203,104,USA,Americas,SF,30,Maccabi FOX Tel Aviv,17,11.1,5.4,10.5,0.51,1.4,2.2,0.636,4.0,8.3,0.478,0.581,1.4,1.8,0.778,1.4,4.0,5.4,1.4,0.7,0.7,2.9,4.7,13.7,2016,EL
2194,Luke Harangody,203,111,USA,Americas,F,29,Darussafaka Basketbol Istanbul,29,12.8,4.7,8.7,0.537,1.9,4.1,0.459,2.8,4.7,0.6,0.649,0.6,0.9,0.6,2.5,5.0,7.5,1.2,0.3,0.6,0.6,5.0,11.9,2016,EL
2195,Viktor Khryapa,201,100,Russia,Europe,PF,34,CSKA Moscow,32,13.6,4.1,10.9,0.381,0.6,3.5,0.184,3.5,7.4,0.48,0.404,2.1,2.6,0.821,1.8,9.1,10.6,5.3,2.4,0.9,2.4,4.7,11.2,2016,EL
2196,Paul Stoll,180,79,USA,Americas,G,31,UNICS Kazan,14,15.8,2.8,8.9,0.327,2.3,6.6,0.351,0.5,2.3,0.222,0.444,1.0,1.5,0.75,1.3,3.8,5.1,6.8,2.5,0.0,3.0,4.8,9.1,2016,EL
2197,Dimitrios Agravanis,208,95,Greece,Europe,F,22,Olympiacos,25,11.2,4.3,12.5,0.341,1.4,6.8,0.229,2.9,5.7,0.5,0.4,2.9,3.6,0.8,3.2,5.4,8.6,0.7,1.4,0.7,1.1,6.1,12.9,2016,EL
2198,Goksenin Koksal,196,86,Turkey,Asia,GF,26,Galatasaray,28,14.5,3.6,9.4,0.383,1.4,3.6,0.405,2.2,5.8,0.381,0.457,1.1,1.9,0.5,1.7,1.7,3.3,2.2,1.1,0.0,2.2,5.0,9.7,2016,EL
2199,Simone Fontecchio,201,91,Italy,Europe,SF,21,AX Armani Exchange Milan,10,11.7,4.4,10.3,0.433,2.4,5.8,0.412,2.1,4.4,0.462,0.544,0.0,0.0,0.0,2.1,3.1,5.1,2.7,1.7,0.3,1.7,7.2,11.3,2016,EL
2200,Aleksej Nikolic,190,84,Slovenia,Europe,PG,22,Brose Baskets Bamberg,10,10.4,3.5,10.0,0.346,1.5,5.4,0.286,1.9,4.6,0.417,0.425,4.2,4.2,1.0,0.8,2.3,3.1,6.9,2.3,0.0,2.7,6.9,12.7,2016,EL
2201,Marcus Slaughter,206,104,USA,Americas,PF,31,Darussafaka Basketbol Istanbul,13,15.1,3.2,5.3,0.577,0.0,0.0,0.0,3.2,5.3,0.6,0.604,2.4,4.2,0.571,2.6,4.2,6.9,1.3,1.3,1.1,2.4,8.2,8.5,2016,EL
2202,Patrick Heckmann,198,95,Germany,Europe,SG,25,Brose Baskets Bamberg,28,12.5,3.2,7.7,0.433,1.9,3.8,0.485,1.3,3.8,0.333,0.539,1.0,1.6,0.692,0.3,3.5,3.8,2.6,1.0,0.0,1.9,4.2,9.6,2016,EL
2203,Evgeny Voronov,193,95,Russia,Europe,G,30,UNICS Kazan,23,15.2,2.9,8.2,0.347,0.5,2.9,0.192,2.4,5.3,0.45,0.384,1.6,1.8,0.765,0.8,2.6,3.4,1.6,2.1,0.3,2.6,6.8,7.9,2016,EL
2204,Vadim Panin,201,99,Russia,Europe,SF,33,UNICS Kazan,26,18.2,2.2,5.3,0.429,1.5,4.0,0.375,0.7,1.3,0.5,0.557,0.4,0.4,0.667,0.9,3.5,4.4,2.0,1.3,0.2,2.0,3.7,6.4,2016,EL
2205,Dontaye Draper,178,82,USA,Americas,PG,32,Real Madrid,29,13.4,2.7,7.2,0.386,1.2,4.2,0.286,1.5,3.0,0.5,0.458,1.5,1.8,0.824,0.6,2.4,3.0,4.2,2.4,0.0,2.1,5.4,8.4,2016,EL
2206,Birkan Batuk,193,75,Turkey,Asia,SF,27,Darussafaka Basketbol Istanbul,32,12.5,2.9,8.0,0.37,1.6,5.8,0.298,1.3,2.2,0.571,0.462,1.0,1.6,0.625,2.2,2.9,5.4,1.3,1.3,0.3,0.6,7.4,8.6,2016,EL
2207,Guy Pnini,198,97,Israel,Asia,SF,33,Maccabi FOX Tel Aviv,29,12.7,2.8,8.2,0.365,1.3,5.0,0.277,1.6,3.1,0.5,0.421,0.9,1.6,0.533,0.9,4.1,5.0,3.8,0.9,0.0,1.3,2.8,8.2,2016,EL
2208,Renaldas Seibutis,196,80,Lithuania,Europe,SG,31,Zalgiris,30,12.5,2.6,7.7,0.342,0.6,2.6,0.208,1.9,5.1,0.375,0.377,1.9,2.6,0.76,0.6,3.5,4.2,2.9,1.0,0.3,1.9,4.8,8.0,2016,EL
2209,Ege Arar,208,103,Turkey,Asia,C,20,Galatasaray,10,11.5,3.5,8.0,0.435,0.0,0.0,0.0,3.5,8.0,0.435,0.438,0.7,0.7,1.0,3.8,6.6,10.4,1.4,1.0,1.4,1.7,6.6,7.7,2016,EL
2210,Antonis Fotsis,203,112,Greece,Europe,PF,35,Panathinaikos,24,12.3,2.6,6.2,0.391,1.3,4.2,0.323,1.3,2.0,0.667,0.524,0.7,0.7,0.8,2.0,5.9,7.8,0.7,0.3,0.3,1.0,2.9,6.8,2016,EL
2211,Alexey Shved,198,85,Russia,Europe,G,29,Khimki,34,32.2,8.7,21.5,0.407,3.9,11.8,0.33,4.8,9.7,0.5,0.495,5.7,7.0,0.82,0.2,3.0,3.2,6.5,1.6,0.2,3.9,2.4,27.1,2017,EL
2212,Nemanja Nedovic,190,87,Serbia,Europe,SG,26,Unicaja,24,25.1,8.9,20.7,0.429,3.5,10.0,0.358,5.4,10.7,0.507,0.514,5.4,6.4,0.845,0.6,2.4,3.2,7.6,1.0,0.2,3.5,2.5,26.8,2017,EL
2213,Nando De Colo,196,88,France,Europe,G,30,CSKA Moscow,32,25.8,8.8,16.1,0.542,2.8,5.7,0.492,6.0,10.4,0.582,0.634,5.4,5.7,0.95,0.5,2.9,3.4,5.7,1.9,0.2,3.6,3.1,25.9,2017,EL
2214,Mike James,185,86,USA,Americas,PG,27,Panathinaikos,12,25.5,9.7,20.5,0.478,1.9,8.2,0.242,7.8,12.4,0.633,0.52,3.8,5.3,0.707,0.5,3.8,4.4,6.4,2.0,0.2,2.0,3.5,25.4,2017,EL
2215,Luka Doncic,201,104,Slovenia,Europe,SF,19,Real Madrid,33,25.9,7.3,16.2,0.451,2.6,8.0,0.329,4.6,8.2,0.566,0.531,7.4,9.1,0.816,1.2,6.2,7.4,6.6,1.7,0.5,3.6,2.3,24.7,2017,EL
2216,Errick McCollum,188,77,USA,Americas,PG,30,Anadolu Efes,29,26.5,7.5,17.7,0.429,2.7,6.8,0.4,4.8,10.9,0.444,0.5,4.1,5.3,0.775,0.8,2.9,3.6,3.5,1.2,0.6,3.0,3.2,22.0,2017,EL
2217,Nick Calathes,198,96,USA,Americas,PG,29,Panathinaikos,31,29.0,8.0,16.8,0.476,1.5,5.1,0.293,6.5,11.7,0.553,0.521,2.5,4.4,0.576,0.8,4.4,5.2,11.0,2.3,0.1,3.2,3.4,20.0,2017,EL
2218,Pierre Jackson,178,82,USA,Americas,PG,26,Maccabi FOX Tel Aviv,29,25.6,7.2,17.5,0.41,3.0,8.0,0.367,4.2,9.5,0.443,0.497,5.3,6.2,0.862,0.6,3.9,4.5,6.6,1.6,0.0,4.2,3.9,22.7,2017,EL
2219,Erick Green,190,81,USA,Americas,G,26,Valencia Basket,28,24.6,7.3,16.4,0.445,2.4,6.0,0.417,4.9,10.4,0.469,0.518,6.3,7.0,0.9,0.5,2.3,2.8,2.8,1.3,0.0,1.6,2.1,23.4,2017,EL
2220,Cory Higgins,196,82,USA,Americas,G,28,CSKA Moscow,36,24.7,8.3,15.4,0.543,1.8,3.9,0.455,6.5,11.5,0.563,0.597,4.5,5.5,0.806,0.6,3.2,3.9,3.1,1.6,0.2,2.3,4.5,23.0,2017,EL
2221,Vassilis Spanoulis,193,95,Greece,Europe,SG,35,Olympiacos,24,26.3,6.7,16.7,0.396,2.6,8.2,0.315,4.1,8.5,0.482,0.479,5.3,6.5,0.817,0.3,2.0,2.3,8.5,1.1,0.0,5.3,3.8,21.3,2017,EL
2222,Sergio Rodriguez,190,80,Spain,Europe,PG,31,CSKA Moscow,36,26.0,7.4,14.9,0.491,4.0,8.9,0.438,3.4,6.0,0.564,0.631,2.6,2.9,0.897,0.5,2.6,3.1,7.5,1.2,0.2,3.2,3.2,21.2,2017,EL
2223,Tornike Shengelia,206,100,Georgia,Asia,PF,26,Baskonia,33,25.5,8.0,14.1,0.569,0.8,2.2,0.326,7.2,11.9,0.605,0.596,4.7,6.9,0.681,2.5,7.1,9.6,3.5,1.3,0.8,2.4,3.1,21.5,2017,EL
2224,Taylor Rochestie,185,88,USA,Americas,G,32,KK Crvena Zvezda,30,26.0,7.8,15.8,0.494,2.6,6.3,0.407,5.2,9.5,0.548,0.576,2.5,2.8,0.891,0.6,2.8,3.5,7.7,1.2,0.2,2.8,3.2,20.6,2017,EL
2225,Kevin Pangos,188,84,Canada,Americas,PG,25,Zalgiris,36,27.5,6.7,14.0,0.483,3.1,6.4,0.475,3.6,7.6,0.481,0.589,2.0,2.6,0.754,0.6,3.3,3.9,8.6,1.0,0.1,3.8,4.1,18.5,2017,EL
2226,Norris Cole,188,79,USA,Americas,G,29,Maccabi FOX Tel Aviv,28,24.6,7.6,18.4,0.418,1.3,4.1,0.319,6.3,14.3,0.443,0.448,3.9,4.7,0.817,0.2,3.9,4.1,6.2,1.8,0.2,3.4,4.4,20.5,2017,EL
2227,Jan Vesely,211,109,Czech Republic,Europe,PF,27,Fenerbahce Ulker,34,26.6,7.1,11.6,0.609,0.0,0.0,0.0,7.1,11.6,0.61,0.612,4.7,6.6,0.707,3.8,3.9,7.7,2.4,1.4,1.1,2.3,5.1,18.8,2017,EL
2228,Rodrigue Beaubois,185,83,France,Europe,G,30,Baskonia,33,21.3,9.0,17.8,0.498,3.0,7.7,0.4,6.0,10.1,0.593,0.59,2.4,2.6,0.894,0.9,3.8,4.5,3.4,1.3,0.8,2.3,4.9,23.3,2017,EL
2229,Andrew Goudelock,190,91,USA,Americas,G,29,AX Armani Exchange Milan,25,26.2,6.7,16.9,0.392,2.4,7.8,0.312,4.3,9.2,0.467,0.467,3.1,3.4,0.926,0.6,3.1,3.7,2.7,1.2,0.3,1.8,3.1,18.8,2017,EL
2230,Kevin Seraphin,208,126,France,Europe,FC,28,Barca,15,20.3,9.7,16.6,0.579,0.0,0.2,0.0,9.7,16.4,0.59,0.584,4.7,7.3,0.655,3.3,6.3,9.7,1.8,0.6,1.8,3.7,5.1,23.8,2017,EL
2231,Georgios Printezis,206,106,Greece,Europe,F,33,Olympiacos,28,25.6,7.2,15.5,0.466,1.2,3.7,0.343,5.9,11.7,0.507,0.503,3.1,4.5,0.691,2.2,6.4,8.6,2.2,0.8,0.5,2.0,1.9,18.8,2017,EL
2232,Anthony Gill,203,104,USA,Americas,PF,25,Khimki,32,25.9,6.5,11.0,0.588,1.5,3.4,0.478,4.9,7.6,0.653,0.659,3.6,4.9,0.743,2.3,4.6,6.9,1.5,0.8,0.9,2.0,4.3,18.2,2017,EL
2233,Ricky Hickman,190,79,USA,Americas,SG,32,Brose Baskets Bamberg,28,23.9,6.0,15.6,0.385,2.7,8.4,0.326,3.3,7.2,0.465,0.471,4.9,5.9,0.818,0.5,3.3,3.8,3.7,1.8,0.2,3.3,4.2,19.6,2017,EL
2234,Dorell Wright,206,93,USA,Americas,F,32,Brose Baskets Bamberg,27,25.8,6.0,14.4,0.421,3.1,7.3,0.422,2.9,7.1,0.413,0.524,2.8,3.1,0.873,1.4,7.1,8.4,2.6,1.4,0.6,1.6,2.8,18.0,2017,EL
2235,Jordan Theodore,185,79,USA,Americas,PG,28,AX Armani Exchange Milan,23,26.3,6.7,15.4,0.433,1.4,4.6,0.294,5.3,10.8,0.493,0.481,3.0,3.5,0.865,0.8,2.4,3.0,6.5,1.4,0.0,2.7,4.4,17.6,2017,EL
2236,James Feldeine,193,86,USA,Americas,SG,29,KK Crvena Zvezda,28,25.0,6.2,16.8,0.374,2.4,6.7,0.345,3.8,10.1,0.381,0.44,3.7,4.2,0.865,0.6,2.1,2.6,4.6,1.9,0.2,2.2,2.2,18.6,2017,EL
2237,Will Clyburn,198,95,USA,Americas,F,27,CSKA Moscow,36,26.6,6.0,13.7,0.435,1.4,3.5,0.386,4.7,10.2,0.456,0.489,4.2,6.0,0.692,2.3,6.6,8.9,2.7,1.4,0.3,2.4,3.0,17.4,2017,EL
2238,Deshaun Thomas,201,100,USA,Americas,F,26,Maccabi FOX Tel Aviv,28,24.3,7.4,16.8,0.446,2.1,5.1,0.425,5.3,11.7,0.451,0.503,1.8,2.6,0.689,1.6,4.0,5.6,2.0,0.8,0.2,1.5,2.0,18.9,2017,EL
2239,Brad Wanamaker,190,95,USA,Americas,SG,28,Fenerbahce Ulker,36,26.1,5.5,13.3,0.41,1.7,5.1,0.333,3.8,8.3,0.463,0.477,4.8,5.5,0.855,0.9,3.2,4.1,5.8,2.0,0.2,2.3,3.5,17.3,2017,EL
2240,Thomas Heurtel,188,82,France,Europe,G,28,Barca,30,23.6,7.3,14.7,0.5,1.9,5.3,0.348,5.4,9.5,0.571,0.561,2.7,3.4,0.814,0.7,3.4,4.1,11.0,1.2,0.0,3.9,3.2,19.2,2017,EL
2241,Paulius Jankunas,206,107,Lithuania,Europe,SF,33,Zalgiris,35,22.1,7.6,13.2,0.576,0.5,1.3,0.375,7.1,11.9,0.591,0.595,4.7,5.6,0.833,2.4,6.3,8.9,2.5,0.9,0.5,2.2,5.4,20.5,2017,EL
2242,Mindaugas Kuzminskas,206,97,Lithuania,Europe,SF,28,AX Armani Exchange Milan,14,21.9,6.9,15.0,0.461,2.0,4.7,0.432,4.9,10.2,0.482,0.527,4.0,5.1,0.795,2.0,2.4,4.4,2.6,0.9,0.2,1.6,3.3,19.9,2017,EL
2243,Vladimir Micov,201,102,Serbia,Europe,SF,32,AX Armani Exchange Milan,29,27.5,5.8,11.9,0.481,2.3,5.4,0.443,3.5,6.5,0.533,0.584,1.9,2.5,0.796,0.3,3.5,3.8,3.2,0.9,0.1,2.0,1.9,15.9,2017,EL
