,Player,Height,Weight,Nationality,Continent,Pos,Age,Team,GP,MP,FGM,FGA,FG%,3PM,3PA,3P%,2PM,2PA,2P%,eFG%,FTM,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,League
581,LeBron James,206,113,USA,Americas,PF,33,Cleveland Cavaliers,82,36.9,11.4,20.9,0.542,2.0,5.4,0.367,9.3,15.5,0.603,0.593,5.1,7.0,0.731,1.3,8.1,9.3,9.9,1.5,1.0,4.6,1.8,29.8,2017,NBA
582,Mike James,185,86,USA,Americas,PG,27,Phoenix Suns,36,19.1,7.1,18.6,0.383,1.5,5.7,0.265,5.7,13.0,0.435,0.422,3.8,4.8,0.762,0.8,4.4,5.2,7.3,1.7,0.4,2.9,2.7,19.5,2017,NBA
583,Al Jefferson,208,131,USA,Americas,C,33,Indiana Pacers,36,13.4,9.3,17.3,0.534,0.0,0.3,0.0,9.3,17.0,0.541,0.538,2.4,3.0,0.833,2.4,9.3,11.9,2.4,1.2,1.8,1.8,5.4,20.9,2017,NBA
584,Brandon Jennings,185,77,USA,Americas,PG,28,Milwaukee Bucks,14,14.6,5.2,14.0,0.375,1.6,6.6,0.273,3.6,7.7,0.462,0.429,1.9,1.9,1.0,1.1,5.2,6.0,8.5,1.1,0.8,3.6,2.2,14.2,2017,NBA
585,Jonas Jerebko,208,105,Sweden,Europe,PF,30,Utah Jazz,74,15.3,5.5,12.0,0.466,2.4,5.5,0.414,3.4,6.5,0.511,0.558,1.6,2.1,0.807,1.8,6.8,8.6,1.6,0.8,0.5,1.0,4.4,15.2,2017,NBA
586,Amir Johnson,206,109,USA,Americas,C,30,Philadelphia 76ers,74,15.8,4.8,8.9,0.538,0.3,1.0,0.313,4.6,7.8,0.57,0.556,1.8,2.8,0.612,4.3,7.1,11.4,4.1,1.5,1.5,1.8,6.6,11.6,2017,NBA
587,James Johnson,201,109,USA,Americas,PF,30,Miami Heat,73,26.6,6.3,12.6,0.503,1.2,3.8,0.308,5.3,8.9,0.587,0.548,2.3,3.3,0.698,1.2,6.2,7.4,5.7,1.5,1.1,2.9,3.9,16.2,2017,NBA
588,Joe Johnson,201,109,USA,Americas,SF,36,Utah Jazz,55,21.9,4.9,11.9,0.406,1.3,4.7,0.276,3.5,7.1,0.493,0.466,1.3,1.5,0.889,0.5,5.3,5.7,2.7,0.5,0.2,1.6,2.2,12.4,2017,NBA
589,Stanley Johnson,198,110,USA,Americas,SF,21,Detroit Pistons,69,27.4,4.4,11.8,0.375,1.5,5.0,0.286,3.1,6.9,0.439,0.436,2.3,3.1,0.772,0.7,4.7,5.4,2.3,2.0,0.3,1.6,3.5,12.7,2017,NBA
590,Tyler Johnson,190,84,USA,Americas,PG,25,Miami Heat,72,28.5,6.0,13.9,0.435,2.4,6.3,0.367,3.6,7.6,0.491,0.518,2.1,2.5,0.822,0.7,4.2,4.8,3.2,1.1,0.7,1.5,2.9,16.4,2017,NBA
591,Wesley Johnson,201,97,USA,Americas,SF,30,Los Angeles Clippers,74,20.1,4.0,10.0,0.408,1.6,4.8,0.339,2.4,5.2,0.471,0.48,1.2,1.6,0.741,0.8,5.0,5.8,1.6,2.0,1.6,1.4,4.0,10.7,2017,NBA
592,Nikola Jokić,211,129,Serbia,Europe,C,22,Denver Nuggets,75,32.6,8.2,16.6,0.499,1.8,4.5,0.396,6.4,11.9,0.538,0.548,4.3,5.2,0.85,3.2,9.9,13.1,7.5,1.5,1.0,3.4,3.4,22.7,2017,NBA
593,Derrick Jones Jr.,196,95,USA,Americas,SF,20,Miami Heat,20,12.3,3.6,8.8,0.396,0.7,2.9,0.167,2.9,5.9,0.514,0.449,2.6,3.9,0.667,3.6,2.9,6.2,1.6,0.7,2.3,1.3,3.9,10.1,2017,NBA
594,Jalen Jones,201,100,USA,Americas,SF,24,Dallas Mavericks,16,11.3,5.7,15.2,0.382,2.1,5.7,0.385,3.5,9.2,0.381,0.444,2.8,4.2,0.632,2.8,5.7,8.5,1.1,1.1,0.4,1.4,5.0,16.3,2017,NBA
595,Tyus Jones,183,89,USA,Americas,PG,21,Minnesota Timberwolves,82,17.9,4.0,8.9,0.457,1.1,3.6,0.349,2.9,5.4,0.528,0.511,2.0,2.2,0.877,0.4,3.1,3.6,6.3,2.7,0.2,1.6,2.9,11.4,2017,NBA
596,DeAndre Jordan,211,120,USA,Americas,C,29,Los Angeles Clippers,77,31.5,6.1,9.5,0.645,0.0,0.0,0.0,6.1,9.5,0.645,0.642,3.0,5.2,0.58,5.5,13.8,19.3,1.9,0.6,1.1,2.3,3.3,15.2,2017,NBA
597,Cory Joseph,190,91,Canada,Americas,PG,26,Indiana Pacers,82,27.0,4.6,11.0,0.424,1.2,3.4,0.353,3.4,7.4,0.457,0.473,1.3,1.6,0.745,0.7,4.0,4.7,4.7,1.5,0.3,1.6,2.5,11.7,2017,NBA
598,Frank Kaminsky,213,109,USA,Americas,PF,24,Charlotte Hornets,79,23.2,6.7,15.7,0.429,2.2,6.0,0.38,4.5,9.7,0.459,0.497,3.4,4.3,0.799,1.0,5.3,6.2,2.8,0.9,0.3,1.4,2.1,19.1,2017,NBA
599,Luke Kennard,196,93,USA,Americas,SG,21,Detroit Pistons,73,20.0,5.6,12.8,0.443,2.2,5.4,0.415,3.4,7.4,0.463,0.523,1.8,2.0,0.855,0.6,4.2,4.8,3.4,1.2,0.4,1.8,2.4,15.2,2017,NBA
600,Michael Kidd-Gilchrist,198,105,USA,Americas,SF,24,Charlotte Hornets,74,25.0,6.1,12.2,0.504,0.0,0.0,0.0,6.1,12.0,0.505,0.5,2.6,3.7,0.684,1.8,4.6,6.6,1.6,1.1,0.6,1.1,3.0,14.7,2017,NBA
601,Sean Kilpatrick,193,95,USA,Americas,SG,28,Milwaukee Bucks,52,12.3,6.8,18.5,0.374,2.9,9.1,0.319,3.9,9.4,0.427,0.446,3.9,4.6,0.889,0.3,5.2,5.5,2.9,1.0,0.3,2.3,2.0,20.5,2017,NBA
602,Maxi Kleber,208,109,Germany,Europe,PF,26,Dallas Mavericks,72,16.8,5.0,10.2,0.489,1.4,4.3,0.313,3.6,6.0,0.613,0.559,1.4,1.9,0.746,2.4,5.5,7.9,1.7,1.0,1.7,1.0,3.8,12.9,2017,NBA
603,Luke Kornet,218,113,USA,Americas,PF,22,New York Knicks,20,16.3,6.1,15.5,0.392,3.4,9.8,0.354,2.7,5.6,0.457,0.503,1.0,1.5,0.727,1.5,6.6,7.9,3.2,0.7,2.0,1.5,3.4,16.4,2017,NBA
604,Kyle Korver,201,96,USA,Americas,SG,36,Cleveland Cavaliers,73,21.6,5.6,12.2,0.459,4.1,9.6,0.436,1.5,2.8,0.537,0.627,1.7,1.9,0.889,0.2,3.9,4.3,2.2,0.7,0.7,1.5,3.3,17.0,2017,NBA
605,Kosta Koufos,213,111,USA,Americas,C,28,Sacramento Kings,71,19.6,6.3,11.2,0.571,0.0,0.0,0.0,6.3,11.2,0.571,0.562,1.0,2.0,0.446,4.3,9.2,13.5,2.4,1.4,1.0,1.4,4.3,13.7,2017,NBA
606,Kyle Kuzma,206,100,USA,Americas,PF,22,Los Angeles Lakers,77,31.2,7.8,17.3,0.45,2.7,7.2,0.366,5.1,10.1,0.511,0.529,2.4,3.5,0.707,1.4,6.5,8.1,2.3,0.8,0.5,2.3,2.7,20.6,2017,NBA
607,Skal Labissière,208,106,Haiti,Americas,PF,21,Sacramento Kings,60,20.7,6.6,14.7,0.448,0.6,1.7,0.353,6.0,13.1,0.459,0.469,3.1,3.9,0.805,3.3,6.2,9.3,2.3,0.8,1.5,2.3,4.3,16.8,2017,NBA
608,Jeremy Lamb,196,82,USA,Americas,SG,25,Charlotte Hornets,80,24.6,7.8,16.9,0.457,2.0,5.2,0.37,5.9,11.7,0.495,0.521,3.6,4.2,0.861,1.0,5.5,6.7,3.7,1.3,0.7,2.0,2.8,21.0,2017,NBA
609,Shane Larkin,180,79,USA,Americas,PG,25,Boston Celtics,54,14.4,4.4,11.4,0.384,1.7,4.4,0.36,2.8,6.9,0.398,0.461,1.7,1.9,0.865,0.8,3.9,4.7,5.0,1.4,0.0,1.7,3.1,11.9,2017,NBA
610,Zach LaVine,196,91,USA,Americas,SG,22,Chicago Bulls,24,27.3,8.4,21.7,0.383,2.6,7.5,0.341,5.7,14.2,0.405,0.447,5.3,6.6,0.813,0.6,5.1,5.7,4.4,1.5,0.3,2.6,3.4,24.5,2017,NBA
611,Courtney Lee,196,97,USA,Americas,SG,32,New York Knicks,76,30.4,5.9,13.0,0.454,2.0,4.9,0.406,3.9,8.3,0.482,0.531,2.0,2.1,0.919,0.5,3.4,3.8,3.2,1.4,0.3,1.4,1.8,15.8,2017,NBA
612,Damion Lee,196,95,USA,Americas,SG,25,Atlanta Hawks,15,26.9,6.1,15.0,0.408,1.5,5.9,0.25,4.6,9.1,0.511,0.457,2.2,2.8,0.759,1.0,5.9,7.0,2.8,1.9,0.1,1.3,2.5,15.9,2017,NBA
613,Alex Len,213,113,Ukraine,Europe,C,24,Phoenix Suns,69,20.2,6.1,10.9,0.566,0.0,0.0,0.333,6.1,10.7,0.568,0.56,4.6,6.5,0.684,5.0,9.9,14.9,2.4,0.8,1.8,2.2,4.6,16.8,2017,NBA
614,Caris LeVert,198,93,USA,Americas,SF,23,Brooklyn Nets,71,26.3,6.8,15.8,0.435,1.8,5.3,0.347,5.0,10.5,0.48,0.487,2.9,4.0,0.711,1.1,4.4,5.6,6.4,1.8,0.5,3.3,3.3,18.4,2017,NBA
615,DeAndre Liggins,198,95,USA,Americas,SG,29,Milwaukee Bucks,58,12.5,2.2,5.8,0.377,1.0,2.9,0.358,1.3,2.9,0.396,0.466,0.0,0.3,0.4,0.3,3.8,4.2,2.6,1.9,0.6,1.0,4.5,5.4,2017,NBA
616,Damian Lillard,188,88,USA,Americas,PG,27,Portland Trail Blazers,73,36.6,9.3,21.2,0.439,3.4,9.4,0.361,5.9,11.8,0.501,0.519,7.4,8.1,0.916,0.9,3.9,4.9,7.2,1.2,0.4,3.1,1.7,29.4,2017,NBA
617,Shaun Livingston,201,87,USA,Americas,PG,32,Golden State Warriors,71,15.9,6.0,12.1,0.501,0.0,0.3,0.0,6.0,12.1,0.509,0.496,1.8,2.3,0.82,1.3,3.5,4.5,5.0,1.3,0.8,2.0,4.0,13.8,2017,NBA
618,Kevon Looney,206,101,USA,Americas,C,21,Golden State Warriors,66,13.8,4.9,8.4,0.58,0.0,0.3,0.2,4.9,8.1,0.59,0.583,1.7,3.5,0.545,3.8,5.8,9.6,1.7,1.4,2.3,1.4,4.6,11.6,2017,NBA
619,Brook Lopez,213,128,USA,Americas,C,29,Los Angeles Lakers,74,23.4,8.5,18.3,0.465,2.6,7.5,0.345,6.0,10.8,0.549,0.536,2.6,3.6,0.703,1.7,5.1,6.8,2.9,0.7,2.2,2.2,4.4,22.2,2017,NBA
620,Robin Lopez,213,127,USA,Americas,C,29,Chicago Bulls,64,26.4,8.0,15.3,0.53,0.2,0.3,0.286,8.0,15.0,0.536,0.529,1.7,2.1,0.756,3.2,3.6,6.8,2.9,0.3,1.2,2.6,2.6,17.9,2017,NBA
621,Kevin Love,203,114,USA,Americas,C,29,Cleveland Cavaliers,59,28.0,8.1,17.7,0.458,3.3,8.0,0.415,4.7,9.7,0.494,0.551,5.7,6.4,0.88,2.4,10.7,13.3,2.4,1.0,0.6,2.1,2.9,25.1,2017,NBA
622,Kyle Lowry,183,89,USA,Americas,PG,31,Toronto Raptors,78,32.2,6.5,15.0,0.427,3.9,9.4,0.399,2.6,5.6,0.474,0.563,3.6,4.1,0.854,1.0,5.8,7.0,8.6,1.4,0.2,2.9,3.1,20.1,2017,NBA
623,Timothé Luwawu-Cabarrot,201,100,France,Europe,SF,22,Philadelphia 76ers,52,15.5,4.9,13.2,0.375,2.6,7.7,0.335,2.3,5.4,0.431,0.47,2.3,2.8,0.793,0.8,2.8,3.6,2.6,0.5,0.3,1.8,4.9,15.0,2017,NBA
624,Trey Lyles,206,106,Canada,Americas,PF,22,Denver Nuggets,73,19.1,7.7,15.7,0.491,2.3,6.3,0.381,5.4,9.4,0.563,0.564,2.9,4.2,0.706,1.7,8.4,10.1,2.5,0.8,1.0,1.7,3.1,20.7,2017,NBA
625,Shelvin Mack,190,92,USA,Americas,PG,27,Orlando Magic,69,19.8,5.3,12.1,0.43,1.4,4.0,0.345,3.8,8.1,0.473,0.496,2.0,2.8,0.711,0.6,4.2,4.8,7.9,1.6,0.2,2.6,2.6,13.9,2017,NBA
626,Josh Magette,185,72,USA,Americas,PG,28,Atlanta Hawks,18,12.0,2.7,8.7,0.326,1.3,4.0,0.364,1.3,4.3,0.292,0.385,1.3,1.3,1.0,0.3,3.0,3.7,10.7,1.3,0.3,1.7,3.0,8.7,2017,NBA
627,Ian Mahinmi,211,119,France,Europe,C,31,Washington Wizards,77,14.9,4.8,8.6,0.556,0.0,0.0,0.0,4.8,8.6,0.561,0.558,3.2,4.6,0.703,4.8,6.2,11.0,1.9,1.3,1.3,3.5,8.1,12.9,2017,NBA
628,Thon Maker,213,100,South Sudan,Africa,C,20,Milwaukee Bucks,74,16.7,4.3,10.3,0.411,1.0,3.4,0.298,3.1,6.9,0.467,0.466,2.2,3.1,0.699,2.4,4.8,7.2,1.4,1.2,1.7,1.4,5.3,11.5,2017,NBA
629,Lauri Markkanen,213,109,Finland,Europe,PF,20,Chicago Bulls,68,29.7,7.4,17.1,0.434,2.8,7.9,0.362,4.6,9.2,0.497,0.515,2.8,3.2,0.843,1.6,8.5,10.1,1.6,0.8,0.8,1.6,2.0,20.5,2017,NBA
630,Jarell Martin,208,108,USA,Americas,PF,23,Memphis Grizzlies,73,22.8,5.3,11.9,0.446,0.9,2.3,0.347,4.6,9.6,0.47,0.483,2.1,2.8,0.767,2.3,5.3,7.7,1.8,0.9,1.2,2.1,5.1,13.5,2017,NBA
631,Frank Mason III,180,86,USA,Americas,PG,23,Sacramento Kings,52,18.9,5.9,15.4,0.379,1.3,3.6,0.36,4.7,12.1,0.384,0.425,3.8,4.7,0.817,1.3,4.0,5.3,5.9,1.5,0.4,2.8,3.0,16.7,2017,NBA
632,Wesley Matthews,193,100,USA,Americas,SF,31,Dallas Mavericks,63,33.8,5.3,13.1,0.406,2.8,7.6,0.381,2.5,5.6,0.441,0.511,1.5,1.9,0.822,0.5,3.2,3.7,3.2,1.4,0.4,1.5,2.6,15.0,2017,NBA
633,Luc Mbah a Moute,203,104,Cameroon,Africa,PF,31,Houston Rockets,61,25.6,4.2,8.9,0.481,1.6,4.4,0.364,2.7,4.4,0.599,0.562,1.7,2.5,0.684,0.6,4.2,4.7,1.4,1.9,0.6,1.7,2.5,11.7,2017,NBA
634,Patrick McCaw,201,82,USA,Americas,SG,22,Golden State Warriors,57,16.9,3.8,9.2,0.409,0.7,3.3,0.238,3.1,5.9,0.503,0.451,1.2,1.4,0.765,0.7,2.8,3.3,3.3,1.9,0.5,1.7,2.8,9.5,2017,NBA
635,CJ McCollum,190,86,USA,Americas,SG,26,Portland Trail Blazers,81,36.1,9.1,20.6,0.443,2.5,6.5,0.397,6.5,14.1,0.465,0.502,2.9,3.4,0.836,0.8,3.7,4.4,3.8,1.1,0.4,2.1,2.3,23.7,2017,NBA
636,T.J. McConnell,185,86,USA,Americas,PG,25,Philadelphia 76ers,76,22.4,5.0,9.8,0.499,0.7,1.4,0.435,4.3,8.4,0.51,0.546,0.7,0.9,0.795,0.9,4.5,5.4,7.1,2.1,0.4,2.7,2.9,11.2,2017,NBA
637,Doug McDermott,201,102,USA,Americas,SF,26,New York Knicks,81,21.8,5.3,11.6,0.467,2.0,5.0,0.426,3.3,6.6,0.497,0.543,1.5,1.8,0.79,0.9,3.7,4.6,1.8,0.4,0.4,1.3,2.8,14.3,2017,NBA
638,Rodney McGruder,193,93,USA,Americas,SG,26,Miami Heat,18,16.6,4.8,9.9,0.493,1.9,4.6,0.429,2.9,5.1,0.553,0.581,0.5,1.0,0.5,1.4,2.9,4.3,2.2,1.0,0.5,0.5,2.9,12.3,2017,NBA
639,Ben McLemore,190,88,USA,Americas,SG,24,Memphis Grizzlies,56,19.5,5.7,13.7,0.421,2.1,5.7,0.346,3.7,7.8,0.477,0.493,1.8,2.3,0.828,1.2,3.9,5.1,1.8,1.4,0.6,2.3,5.1,15.4,2017,NBA
640,Jodie Meeks,193,95,USA,Americas,SG,30,Washington Wizards,77,14.5,5.5,14.1,0.399,2.5,7.4,0.343,3.0,6.6,0.464,0.479,3.6,4.1,0.863,0.6,3.9,4.4,2.5,1.1,0.3,1.4,1.9,17.4,2017,NBA
641,Salah Mejri,218,106,Tunisia,Africa,C,31,Dallas Mavericks,61,12.0,4.7,7.3,0.642,0.0,0.0,0.0,4.7,7.3,0.657,0.644,2.0,3.7,0.576,4.7,8.7,13.3,2.0,1.3,3.7,2.0,6.7,11.7,2017,NBA
642,Jordan Mickey,203,106,USA,Americas,PF,23,Miami Heat,23,12.3,5.5,11.7,0.476,0.3,2.3,0.125,5.2,9.4,0.561,0.483,2.0,2.6,0.684,2.6,8.8,11.4,1.3,1.0,1.3,2.6,5.2,13.0,2017,NBA
643,Khris Middleton,201,101,USA,Americas,SF,26,Milwaukee Bucks,82,36.4,7.9,17.0,0.466,2.0,5.5,0.359,6.0,11.5,0.517,0.524,4.3,4.8,0.884,0.5,5.2,5.7,4.4,1.6,0.3,2.5,3.6,22.1,2017,NBA
644,C.J. Miles,198,100,USA,Americas,SF,30,Toronto Raptors,70,19.1,6.7,18.0,0.379,4.8,13.6,0.361,1.9,4.4,0.434,0.506,2.5,2.9,0.835,0.6,4.0,4.6,1.7,1.0,0.6,1.3,4.0,20.9,2017,NBA
645,Darius Miller,198,102,USA,Americas,SF,27,New Orleans Pelicans,82,23.7,4.4,10.0,0.444,3.0,7.4,0.411,1.4,2.7,0.535,0.59,1.2,1.4,0.866,0.3,3.0,3.4,2.4,0.5,0.3,1.2,3.4,13.2,2017,NBA
646,Patty Mills,185,82,Australia,Oceania,PG,29,San Antonio Spurs,82,25.7,5.3,12.9,0.411,3.0,7.8,0.372,2.3,5.1,0.47,0.527,2.0,2.2,0.89,0.5,2.5,3.0,4.4,1.1,0.2,2.0,2.5,15.6,2017,NBA
647,Paul Millsap,201,116,USA,Americas,PF,32,Denver Nuggets,38,30.1,7.0,15.1,0.464,1.3,4.0,0.345,5.7,11.3,0.506,0.507,3.9,5.6,0.696,2.3,6.2,8.5,3.7,1.3,1.6,2.5,3.5,19.4,2017,NBA
648,Nikola Mirotić,208,113,Montenegro,Europe,PF,26,New Orleans Pelicans,55,27.2,8.2,18.2,0.447,3.7,9.6,0.377,4.6,8.7,0.525,0.552,2.9,3.7,0.818,1.6,9.3,10.9,2.2,1.2,1.0,1.6,2.9,22.9,2017,NBA
649,Donovan Mitchell,185,97,USA,Americas,SG,21,Utah Jazz,79,33.4,9.0,20.6,0.437,2.9,8.4,0.34,6.2,12.3,0.502,0.507,3.6,4.6,0.805,0.8,3.7,4.4,4.4,1.8,0.4,3.2,3.2,24.6,2017,NBA
650,Malik Monk,190,91,USA,Americas,SG,19,Charlotte Hornets,63,13.6,7.1,19.7,0.36,3.8,11.5,0.342,3.2,8.5,0.385,0.457,1.5,1.8,0.842,0.3,2.6,2.9,4.1,0.9,0.3,2.4,2.9,19.7,2017,NBA
651,Greg Monroe,211,120,USA,Americas,C,27,Boston Celtics,51,20.4,8.4,14.9,0.565,0.0,0.0,0.0,8.4,14.9,0.565,0.564,3.3,4.5,0.739,4.1,9.2,13.5,4.3,1.8,1.0,3.5,3.7,20.2,2017,NBA
652,E'Twaun Moore,190,87,USA,Americas,SG,28,New Orleans Pelicans,82,31.5,6.6,12.8,0.508,2.0,4.7,0.425,4.6,8.3,0.556,0.594,0.8,1.0,0.706,0.9,2.8,3.7,2.9,1.3,0.1,1.5,2.8,15.9,2017,NBA
653,Eric Moreland,208,108,USA,Americas,PF,26,Detroit Pistons,67,12.0,3.3,6.0,0.541,0.0,0.0,0.0,3.3,6.0,0.541,0.55,0.7,1.3,0.379,4.0,9.7,13.7,4.0,1.7,2.7,2.0,5.7,7.0,2017,NBA
654,Marcus Morris,203,99,USA,Americas,PF,28,Boston Celtics,54,26.7,7.3,16.9,0.429,2.4,6.4,0.368,4.9,10.5,0.467,0.503,3.4,4.3,0.805,1.2,6.9,8.1,1.9,0.9,0.3,1.8,2.8,20.4,2017,NBA
655,Markieff Morris,206,111,USA,Americas,PF,28,Washington Wizards,73,27.0,6.7,13.9,0.48,1.5,4.1,0.367,5.2,9.8,0.529,0.536,2.1,2.7,0.82,1.5,6.8,8.3,2.8,1.2,0.7,2.5,4.4,17.0,2017,NBA
656,Johnathan Motley,203,104,USA,Americas,PF,22,Dallas Mavericks,11,16.0,9.0,17.0,0.533,0.2,1.2,0.167,8.8,15.8,0.565,0.535,3.5,6.2,0.536,3.2,8.0,11.2,1.5,0.8,0.5,2.0,4.0,21.8,2017,NBA
657,Timofey Mozgov,216,125,Russia,Europe,C,31,Brooklyn Nets,31,11.6,5.9,10.3,0.559,0.3,2.1,0.222,5.2,8.3,0.64,0.587,2.4,3.4,0.767,3.4,7.2,11.0,1.4,0.7,1.4,3.8,4.5,14.5,2017,NBA
658,Emmanuel Mudiay,190,91,Republic of the Congo,Africa,PG,21,Denver Nuggets,64,19.5,6.6,16.8,0.388,1.4,4.7,0.318,5.1,12.1,0.415,0.435,3.1,4.1,0.76,0.8,4.1,4.9,6.6,1.2,0.4,3.7,2.7,17.6,2017,NBA
659,Dejounte Murray,193,82,USA,Americas,PG,21,San Antonio Spurs,81,21.5,6.1,14.0,0.443,0.2,0.7,0.265,6.0,13.2,0.454,0.443,2.4,3.3,0.709,2.6,8.0,10.6,5.4,2.2,0.7,3.2,3.5,15.1,2017,NBA
660,Jamal Murray,190,97,Canada,Americas,PG,20,Denver Nuggets,81,31.7,7.4,16.5,0.451,2.5,6.8,0.378,4.9,9.7,0.502,0.524,3.5,3.9,0.905,1.3,3.4,4.7,4.3,1.3,0.4,2.6,2.6,21.1,2017,NBA
661,Mike Muscala,208,109,USA,Americas,C,26,Atlanta Hawks,53,20.0,5.4,11.8,0.458,2.4,6.4,0.371,3.0,5.4,0.559,0.559,2.2,2.4,0.919,2.2,6.6,8.6,2.0,1.2,1.0,1.6,3.0,15.2,2017,NBA
662,Abdel Nader,196,102,Egypt,Africa,SF,24,Boston Celtics,48,10.9,3.7,11.4,0.336,1.8,5.1,0.354,2.2,6.6,0.321,0.404,1.8,2.9,0.59,1.1,4.4,5.5,1.8,1.1,0.7,2.6,3.3,11.0,2017,NBA
663,Larry Nance Jr.,201,111,USA,Americas,C,25,Los Angeles Lakers,66,21.5,6.7,11.7,0.581,0.0,0.4,0.167,6.7,11.3,0.594,0.573,2.6,3.9,0.664,4.5,8.2,12.7,2.2,2.4,1.1,1.5,4.8,16.2,2017,NBA
664,Shabazz Napier,183,79,USA,Americas,PG,26,Portland Trail Blazers,74,20.7,5.8,13.9,0.42,2.1,5.6,0.376,3.7,8.1,0.45,0.493,3.1,3.7,0.841,0.8,3.7,4.4,3.9,2.1,0.4,2.3,2.1,16.8,2017,NBA
665,Jameer Nelson,183,86,USA,Americas,PG,35,New Orleans Pelicans,50,20.3,3.7,9.7,0.389,1.6,4.9,0.331,2.2,4.7,0.45,0.464,0.6,0.8,0.8,0.6,3.5,4.1,7.1,1.0,0.2,2.6,3.2,9.7,2017,NBA
666,Raul Neto,185,82,Brazil,Americas,PG,25,Utah Jazz,41,12.1,5.6,12.2,0.457,1.7,3.6,0.404,4.0,8.3,0.481,0.529,2.0,3.0,0.743,0.7,3.3,4.0,6.0,1.0,0.3,3.0,3.0,14.9,2017,NBA
667,Nerlens Noel,211,100,USA,Americas,C,23,Dallas Mavericks,30,15.7,4.6,8.9,0.524,0.0,0.0,0.0,4.6,8.9,0.529,0.517,1.8,2.3,0.75,4.1,10.2,14.3,1.8,2.5,1.8,2.3,5.1,11.2,2017,NBA
668,Dirk Nowitzki,213,111,Germany,Europe,C,39,Dallas Mavericks,77,24.7,7.3,15.9,0.456,2.9,7.1,0.409,4.4,8.9,0.494,0.55,2.1,2.3,0.898,0.5,8.7,9.2,2.6,1.0,1.0,1.1,3.1,19.4,2017,NBA
669,Frank Ntilikina,193,91,Belgium,Europe,PG,19,New York Knicks,78,21.9,4.2,11.7,0.364,1.1,3.7,0.318,3.1,8.0,0.385,0.406,1.1,1.6,0.721,0.9,3.3,4.2,5.8,1.5,0.4,3.1,4.2,10.8,2017,NBA
670,Jusuf Nurkić,211,131,Bosnia and Herzegovina,Europe,C,23,Portland Trail Blazers,79,26.4,9.2,18.2,0.505,0.0,0.2,0.0,9.2,18.0,0.508,0.505,3.3,5.3,0.63,3.6,10.0,13.6,2.7,1.2,2.1,3.5,4.7,21.7,2017,NBA
671,David Nwaba,196,99,USA,Americas,SG,25,Chicago Bulls,70,23.5,4.9,10.2,0.478,0.5,1.2,0.346,4.4,9.0,0.496,0.505,3.2,4.9,0.655,2.2,5.8,8.0,2.6,1.4,0.7,1.9,3.9,13.4,2017,NBA
672,Johnny O'Bryant,206,116,USA,Americas,PF,24,Charlotte Hornets,36,10.5,7.2,18.3,0.398,1.5,4.6,0.326,5.7,13.7,0.422,0.434,2.3,2.7,0.84,3.0,6.9,9.9,1.5,1.1,0.8,1.5,5.0,18.3,2017,NBA
673,Royce O'Neale,193,102,USA,Americas,SF,24,Utah Jazz,69,16.7,4.1,9.8,0.423,1.4,4.1,0.356,2.6,5.7,0.47,0.49,2.2,2.6,0.803,1.0,7.4,8.1,3.4,1.2,0.5,1.9,3.6,12.0,2017,NBA
674,Kyle O'Quinn,206,113,USA,Americas,C,27,New York Knicks,77,18.0,6.4,11.1,0.583,0.2,0.4,0.235,6.4,10.7,0.599,0.586,2.9,3.6,0.772,3.6,10.0,13.6,4.7,1.1,2.9,2.9,5.6,15.8,2017,NBA
675,Semi Ojeleye,198,109,USA,Americas,PF,23,Boston Celtics,73,15.8,2.3,6.6,0.346,1.3,4.3,0.32,0.8,2.3,0.397,0.447,0.8,1.5,0.61,1.3,4.3,5.6,0.8,0.8,0.3,0.8,3.0,6.8,2017,NBA
676,Emeka Okafor,208,114,USA,Americas,C,35,New Orleans Pelicans,26,13.6,5.3,10.9,0.505,0.0,0.0,0.0,5.3,10.9,0.505,0.486,2.1,2.4,0.818,5.3,8.2,13.5,0.9,0.9,2.9,1.5,3.5,12.9,2017,NBA
677,Jahlil Okafor,208,122,USA,Americas,C,22,Brooklyn Nets,28,12.6,8.9,15.6,0.558,0.0,0.3,0.25,8.6,15.2,0.567,0.571,2.5,3.2,0.724,2.5,7.3,9.5,1.3,0.3,1.9,2.5,5.7,20.0,2017,NBA
678,Victor Oladipo,193,96,USA,Americas,SG,25,Indiana Pacers,75,34.0,10.0,21.1,0.477,2.5,6.8,0.371,7.5,14.2,0.528,0.533,4.6,5.8,0.799,0.7,5.4,6.1,5.1,2.8,0.9,3.4,2.7,27.2,2017,NBA
679,Kelly Olynyk,211,109,Canada,Americas,PF,26,Miami Heat,76,23.4,7.2,14.4,0.497,2.4,6.3,0.379,4.8,8.0,0.59,0.583,3.1,3.9,0.77,2.1,7.7,9.7,4.6,1.4,0.9,3.2,5.0,19.7,2017,NBA
680,Cedi Osman,201,104,North Macedonia,Europe,SF,22,Cleveland Cavaliers,61,11.0,5.5,10.9,0.484,1.8,5.1,0.368,3.6,5.8,0.586,0.587,1.5,2.9,0.565,1.1,6.2,7.3,2.5,1.5,0.0,1.8,4.7,14.2,2017,NBA
